Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.000913839406437344     8384                     3.7880968515485494       3.8936973335293956       0.05620641077213246      1.153235183611694        0                        0                        0.9999477375             0.05                     0.2903800692719718       0.0005                   0.3066000783195098       2e-06                    0.04296875               0.7470997                0.7991449                
200                      0.12317290551132626      873431                   9.135797295227398        12.860292132029876       0.09943827132976615      0.8494813686822099       0                        0                        0.98913645               0.05                     0.14077549129433464      0.0005                   0.30729249416617677      2e-06                    0.115966796875           0.12216522               0.4757494                
400                      0.24490437938107384      1743715                  9.549803063343413        13.907275624184873       0.10395894197774998      0.8411100869791179       0                        0                        0.9782579625000001       0.05000000000000001      0.12747589484933997      0.0005                   0.29147356923203915      2e-06                    0.167724609375           -0.1273536               0.47493544               
600                      0.36628456718391844      2613934                  10.20371463211118        17.20410256424845        0.10395894197774998      0.8411100869791179       0                        0                        0.9673801625             0.05                     0.17466451758809853      0.0005                   0.3054178544552997       2e-06                    0.2177734375             0.0676684                0.45742035               
800                      0.48736289858818055      3484131                  10.616623556816204       19.605352975187262       0.10395894197774998      0.8411100869791179       0                        0                        0.9565027625             0.05                     0.1345028970754356       0.0005                   0.2980747071560472       2e-06                    0.246826171875           -0.06321727              0.45467636               
1000                     0.6089162163601981       4354268                  11.07424721381912        18.584764388604537       0.10395894197774998      0.8411100869791179       0                        0                        0.945625975              0.05                     0.1751160544445156       0.0005                   0.3046261230483651       2e-06                    0.195068359375           -0.10457894              0.64494514               
1200                     0.7310975685384539       5224308                  10.970955107764551       23.84173358845005        0.10395894197774998      0.8411100869791179       0                        0                        0.9347505500000001       0.05000000000000001      0.16514531879511196      0.0005                   0.30543474038131535      2e-06                    0.217529296875           -0.013412699             0.7608403                
1400                     0.8542349936564764       6094511                  11.128222942105609       22.580178226224852       0.10395894197774998      0.8411100869791179       0                        0                        0.9238730125             0.05                     0.1814317992539145       0.0005                   0.3023138998541981       2e-06                    0.1923828125             0.07420575               0.49471575               
1600                     0.9769418329000473       6961282                  11.733191270062953       25.083002659353003       0.10395894197774998      0.8411100869791179       0                        0                        0.9130379750000001       0.05                     0.17142685210274067      0.0005                   0.296118302969262        2e-06                    0.21826171875            -0.09899433              0.62015367               
1800                     1.100421101119783        7823739                  12.604321631359362       26.106170755211963       0.10395894197774998      0.8411100869791179       0                        0                        0.9022564625             0.05                     0.1828509879851481       0.0005                   0.29519395739771426      2e-06                    0.18896484375            -0.065183595             0.70223755               
2000                     1.222868232925733        8672371                  12.959525788542642       28.8416085703017         0.10395894197774998      0.8411100869791179       0                        0                        0.8916473625             0.05                     0.22497967130038887      0.0005                   0.3015159724163823       2e-06                    0.231201171875           -0.19172671              1.1273578                
2200                     1.3465734090407688       9519394                  13.875256451356346       29.20226812946051        0.10395894197774998      0.8411100869791179       0                        0                        0.88106215               0.05                     0.20928714079234528      0.0005                   0.2901192005614147       2e-06                    0.2458639705882353       -0.24461733              0.73590577               
2400                     1.4724714354674022       10379570                 13.738282418766868       31.867570640827022       0.10395894197774998      0.8411100869791179       0                        0                        0.8703104625             0.05                     0.3091777081546538       0.0005                   0.3035059917499037       2e-06                    0.24333639705882354      -0.0031689769            0.4879008                
2600                     1.5995091568099127       11244370                 15.404165825604824       36.27124254416455        0.10395894197774998      0.8411100869791179       0                        0                        0.859500325              0.05                     0.24910609076237852      0.0005                   0.2999360354288536       2e-06                    0.1681985294117647       -0.30747843              1.0826164                
2800                     1.7267915056149166       12104196                 17.70013843396826        37.69690422884163        0.10395894197774998      0.8411100869791179       0                        0                        0.84875335               0.05                     0.27088003159117174      0.0005                   0.3045879806227544       2e-06                    0.17991727941176472      -0.032284893             0.79382217               
3000                     1.8563717756668727       12965696                 19.753669972367575       52.09252224162937        0.10395894197774998      0.8411100869791179       0                        0                        0.8379835124999999       0.049999999999999996     0.27987623379072724      0.0005                   0.29630011610467644      2e-06                    0.17486213235294118      0.04955828               0.85196334               
3200                     1.9888533662425147       13836259                 22.964868491337313       55.34405808501886        0.10395894197774998      0.8411100869791179       0                        0                        0.827101325              0.05                     0.2556775597006302       0.0005                   0.3048319174524616       2e-06                    0.21369485294117646      -0.10280168              0.7028118                
3400                     2.1233155907524957       14713721                 24.565132718374848       66.07928801647577        0.10395894197774998      0.8411100869791179       0                        0                        0.816133875              0.05                     0.2922780944637078       0.0005                   0.2885687707320732       2e-06                    0.21116727941176472      0.012403617              0.95018697               
3600                     2.2608259256680805       15598382                 28.91134036604448        63.404160640384376       0.10395894197774998      0.8411100869791179       0                        0                        0.8050762625             0.05                     0.2994582051825192       0.0005                   0.2834487475661768       2e-06                    0.17447916666666666      -0.20643774              0.68114215               
3800                     2.4020045234097376       16497822                 30.16101566090288        67.80624747989899        0.10395894197774998      0.8411100869791179       0                        0                        0.7938334250000001       0.05                     0.2541070434057878       0.0005                   0.289698149336295        2e-06                    0.2065972222222222       -0.24503146              0.79106545               
4000                     2.545864767630895        17410904                 33.406054554295345       74.7645833010479         0.10395894197774998      0.8411100869791179       0                        0                        0.7824210125000001       0.05000000000000001      0.27933971634289867      0.0005                   0.30074702648239005      2e-06                    0.2387152777777778       0.18057097               0.69795597               
4200                     2.6931772977776          18328816                 38.33912248635508        79.72708635282402        0.10395894197774998      0.8411100869791179       0                        0                        0.7709501624999999       0.049999999999999996     0.24833979886515362      0.0005                   0.2891185429241312       2e-06                    0.21546052631578946      0.27351278               0.6460401                
4400                     2.8450247448682786       19266555                 42.02090982543343        129.79242746139312       0.10395894197774998      0.8411100869791179       0                        0                        0.7592270375             0.05                     0.24495511638049625      0.0005                   0.2909498595093426       2e-06                    0.2670641447368421       0.2094799                0.47784054               
4600                     3.001222716967265        20216865                 47.76952742677658        150.74546291975835       0.10395894197774998      0.8411100869791179       0                        0                        0.7473465125000001       0.05                     0.2931833198138823       0.0005                   0.2904726747526891       2e-06                    0.212890625              0.10713714               0.839356                 
4800                     3.16218301375707         21184927                 46.057327156729826       109.36648153047236       0.10395894197774998      0.8411100869791179       0                        0                        0.735247775              0.05                     0.30565897272409576      0.0005                   0.2951916011148378       2e-06                    0.2685032894736842       0.24064133               0.7304708                
5000                     3.328890072769589        22167693                 55.12945266969945        183.69986485219636       0.10395894197774998      0.8411100869791179       0                        0                        0.7229668499999999       0.05                     0.3285961537156254       0.0005                   0.28696076497435574      2e-06                    0.208203125              0.017180279              0.70205075               
5200                     3.5014599453078374       23169161                 63.19239921779601        188.67771811595384       0.10395894197774998      0.8411100869791179       0                        0                        0.7104484875             0.05                     0.3315328448312357       0.0005                   0.28925628056749697      2e-06                    0.1966796875             -0.034187227             0.78153193               
5400                     3.6804723270071875       24189844                 72.42720804439944        152.00144306190035       0.10395894197774998      0.8411100869791179       0                        0                        0.6976930250000001       0.05                     0.4402932270119588       0.0005                   0.28984072746797684      2e-06                    0.20572916666666669      0.32492825               0.77065825               
5600                     3.868389510644807        25239731                 74.34322725460186        278.4790352204853        0.10395894197774998      0.8411100869791179       0                        0                        0.6845649625             0.05                     0.3942436334560625       0.0005                   0.2869554212782532       2e-06                    0.177734375              -0.30873036              1.068302                 
5800                     4.062488029400508        26305785                 74.37475319127938        210.11584529766378       0.10395894197774998      0.8411100869791179       0                        0                        0.671246025              0.05                     0.34462791042063723      0.0005                   0.2879712447439405       2e-06                    0.22176846590909094      -0.10020589              0.75897735               
6000                     4.265264691909154        27392876                 85.35008238828044        251.87289526242077       0.10395894197774998      0.8411100869791179       0                        0                        0.657655325              0.05                     0.3801274289199639       0.0005                   0.2861335613276987       2e-06                    0.15383184523809523      0.091289595              0.8553748                
6200                     4.477885002162721        28514494                 114.62025200446698       188.75005102741233       0.10395894197774998      0.8411100869791179       0                        0                        0.6436394625             0.05                     0.41250460609708994      0.0005                   0.2972547127018598       2e-06                    0.22088068181818182      -0.068523146             0.97917026               
6400                     4.70715255147881         29691798                 142.1188425278844        343.6115332604964        0.10395894197774998      0.8411100869791179       0                        0                        0.62893495               0.05                     0.46558544186588663      0.0005                   0.283477374101774        2e-06                    0.2022235576923077       -0.58545804              1.1589522                
6600                     4.956610591477818        30939066                 110.90778335190225       304.4884385771899        0.10395894197774998      0.8411100869791179       0                        0                        0.6133349499999999       0.05                     0.30945748663709866      0.0005                   0.29330030043164024      2e-06                    0.21382472826086957      -0.72297204              1.1146483                
6800                     5.217484052313699        32227162                 137.99232904894222       325.6142542782483        0.10395894197774998      0.8411100869791179       0                        0                        0.59723295               0.05                     0.3085122157353908       0.0005                   0.29833999381441134      2e-06                    0.20754076086956524      0.26109824               0.6757493                
7000                     5.498164588345421        33606892                 178.56774841500584       380.69825108859754       0.10395894197774998      0.8411100869791179       0                        0                        0.580003975              0.05                     0.2449693059115189       0.0005                   0.2901930148745405       2e-06                    0.20568426724137928      -0.1159097               0.71739393               
