Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
0                        0.0013207957479688857    8389                     3.29903006252024         0.0                      0.021684009888692055     0.9527546687615291       0.0                      1.0                      0.999983248              0.05                     11.640191884338856       2e-05                    0.4439658297846715       4e-06                    0.15026041666666667      2.1214259                1.5057915                73.87282307942709        0.7062026515151516       0.572561553030303        1e-05                    33                       0.4433700406190121       2.068986914374612        0.0                      0.0                      6.674983169093276        
200                      0.1821337760819329       862643                   5.904758584945327        0.0                      0.12419182870041612      0.7963374586976097       0.0                      1.0                      0.996566684              0.05                     39.665806747972965       2e-05                    0.44362279667984694      4e-06                    0.235107421875           3.2309713                6.2119727                9.994938065023984        0.9985064338235294       0.8866038602941178       1e-05                    6799                     0.3107233696124133       0.9829920355011434       0.5604515727609396       0.6456932760775089       0.6422849297523499       
400                      0.3717457296450933       1720621                  5.7826968394287          0.0                      0.13061030711716634      0.8115090928512333       0.0                      1.0                      0.993134724              0.05                     8.738964102463797        2e-05                    0.4522321471013129       4e-06                    0.26171875               -0.29126018              2.7161343                6.756927125594196        0.9995404411764706       0.9460018382352942       1e-05                    13599                    0.3023246386471916       0.923661379253163        0.5291514657437801       0.5671862959861755       0.3798574366990258       
600                      0.5517996318472757       2579716                  6.129646476047222        0.0                      0.13061030711716634      0.8115090928512333       0.0                      1.0                      0.989698224              0.05                     9.404208365827799        2e-05                    0.45400643366156146      4e-06                    0.2587890625             -2.1172893               4.4756746                5.300898271448472        0.9997702205882353       0.9669117647058825       1e-05                    20399                    0.3087213670506197       0.8642374557607315       0.4755832403898239       0.5035217832773924       0.2752126087160672       
800                      0.7349750671784083       3439382                  4.746378508492102        0.0                      0.13061030711716634      0.8115090928512333       0.0                      1.0                      0.986259644              0.05                     9.005790844094008        2e-05                    0.44515108747873455      4e-06                    0.286376953125           0.008532879              3.23023                  4.342671478495879        0.9995404411764706       0.9738051470588236       1e-05                    27199                    0.3110104904455297       0.8387860655784607       0.4539340492337942       0.47320106625556946      0.211485595387571        
1000                     0.91658913883898         4299595                  6.205175666730751        0.0                      0.13061030711716634      0.8115090928512333       0.0                      1.0                      0.982818812              0.05                     6.875575922313146        2e-05                    0.4467808506451547       4e-06                    0.303466796875           -0.2599517               3.017302                 3.6758080791024597       0.9997702205882353       0.974609375              1e-05                    33999                    0.31187644600868225      0.8291480050367467       0.5101769454777241       0.47813308238983154      0.17085756098522858      
1200                     1.0991450372007159       5159171                  5.117883260119232        0.0                      0.13061030711716634      0.8115090928512333       0.0                      1.0                      0.979380548              0.05                     9.988731724908575        2e-05                    0.444281370844692        4e-06                    0.230712890625           -0.46791515              5.0402875                3.147409831776338        0.9994255514705882       0.9727711397058824       1e-05                    40799                    0.31670464662944564      0.8060029219178593       0.4862511269748211       0.478444105014205        0.13901132608161254      
1400                     1.2810637360811234       6019599                  4.9268090145831795       0.0                      0.13061030711716634      0.8115090928512333       0.0                      1.0                      0.9759386959999999       0.049999999999999996     12.208605428691953       2e-05                    0.44227020669495687      4e-06                    0.23876953125            -0.047567815             2.2616525                2.75726110794965         0.9994255514705882       0.9709329044117647       1e-05                    47599                    0.32343045227667866      0.7711927084361805       0.5371756907552481       0.47480805218219757      0.11764119390179129      
1600                     1.4631946802801556       6879915                  4.196168183533362        0.0                      0.13061030711716634      0.8115090928512333       0.0                      1.0                      0.972497696              0.05                     13.073985876049846       2e-05                    0.4428327489295043       4e-06                    0.19384765625            0.96394885               4.3693876                2.4530466865090763       0.9996553308823529       0.9741498161764706       1e-05                    54399                    0.32242049364482656      0.7735669753130745       0.48390235006809235      0.45575145073235035      0.10312553056899239      
1800                     1.6465344441599317       7740348                  6.004089845418658        0.0                      0.13061030711716634      0.8115090928512333       0.0                      1.0                      0.9690557280000001       0.05000000000000001      12.58949522045441        2e-05                    0.4457294414169155       4e-06                    0.248779296875           -0.61802244              6.024478                 2.2032057958490707       0.9986213235294117       0.9739200367647058       1e-05                    61199                    0.3239874471636379       0.7657974502619576       0.5125410482287407       0.4614302981644869       0.09162084845935597      
2000                     1.8281202367279266       8600929                  5.470636357271561        0.0                      0.13061030711716634      0.8115090928512333       0.0                      1.0                      0.965613468              0.05                     11.85879157599993        2e-05                    0.4353628550306894       4e-06                    0.20068359375            -0.0359849               4.740524                 1.9728277991799748       0.9991957720588235       0.9765625                1e-05                    67999                    0.322868147317101        0.7664562989683712       0.48105722293257713      0.44510760344564915      0.08119817384902167      
2200                     2.0108197328779434       9461465                  5.5689483808783855       0.5542708333333333       0.13061030711716634      0.8115090928512333       0.0                      1.0                      0.962171432              0.05                     14.406716141849756       2e-05                    0.43057341570965946      4e-06                    0.293701171875           -0.54236513              3.3840897                1.7623275939156027       0.9989659926470589       0.9780560661764706       1e-05                    74799                    0.3258467772427727       0.7516072497648352       0.4901415854692459       0.44938079081475735      0.07025378109777675      
