Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0011009573936462402    8365                     2.8010186355221673       2.77221961666718         -0.06840267475634602     1.4779641795979521       0                        0                        0.99994775               0.05                     0.25994266448833514      0.0005                   0.2994065205566585       2e-06                    0.030517578125           0.70794725               0.8082555                
200                      0.15113550199402703      862594                   4.948191317418181        7.333590035469592        0.12117001777512078      0.966154458912561        0                        0                        0.9892704625000001       0.05000000000000001      0.09200174227225943      0.0005                   0.29699318984057754      2e-06                    0.124755859375           -0.09526517              0.5016916                
400                      0.29643017768859864      1718750                  5.586031815655889        9.187378109626692        0.12369095936159669      0.9638051137397008       0                        0                        0.9785695                0.05                     0.07643910156184575      0.0005                   0.2808287144289352       2e-06                    0.11767578125            -0.0061849896            0.35635772               
600                      0.4429492676920361       2575086                  7.651542148863807        13.481844795154094       0.12369095936159669      0.9638051137397008       0                        0                        0.9678646                0.05                     0.12027842670067912      0.0005                   0.29537315072957426      2e-06                    0.140380859375           0.051430307              0.40725327               
800                      0.5905136181910833       3430835                  9.911608046490635        14.571318553777218       0.12369095936159669      0.9638051137397008       0                        0                        0.9571681375             0.05                     0.11293329775799066      0.0005                   0.30038150103064254      2e-06                    0.18359375               0.15079547               0.392427                 
1000                     0.7419894574085871       4287501                  11.292109885961082       18.30168073624824        0.12369095936159669      0.9638051137397008       0                        0                        0.9464598                0.05                     0.10325441451641382      0.0005                   0.3003574350150302       2e-06                    0.21923828125            -0.00652279              0.3473832                
1200                     0.893135560353597        5143717                  11.502376298477234       17.17848372595877        0.12369095936159669      0.9638051137397008       0                        0                        0.93575685               0.05                     0.10257881528741564      0.0005                   0.28908275155117735      2e-06                    0.204833984375           -0.08626462              0.3924246                
1400                     1.045924771560563        5999978                  11.751266720875376       18.475482708604666       0.12369095936159669      0.9638051137397008       0                        0                        0.9250533625             0.05                     0.07510603340051603      0.0005                   0.30734414723701775      2e-06                    0.224365234375           -0.008830896             0.3444233                
1600                     1.1985687151882383       6854807                  13.394592319825293       23.172067445633665       0.12369095936159669      0.9638051137397008       0                        0                        0.914368175              0.05                     0.08950837591692107      0.0005                   0.293123243143782        2e-06                    0.18603515625            0.12333288               0.3319588                
1800                     1.351486741569307        7707879                  12.216190741582095       25.620247770903568       0.12369095936159669      0.9638051137397008       0                        0                        0.903705                 0.05                     0.2068858213169733       0.0005                   0.3112277462496422       2e-06                    0.17578125               -0.008721336             0.58834684               
2000                     1.5030808823638493       8556873                  14.03362587006258        31.172545386203833       0.12369095936159669      0.9638051137397008       0                        0                        0.89309225               0.05                     0.304170760238776        0.0005                   0.3059507607249543       2e-06                    0.183349609375           -0.28205135              0.8198662                
2200                     1.6551848066515393       9403354                  15.42944599416276        33.33764457884778        0.12369095936159669      0.9638051137397008       0                        0                        0.882512075              0.05                     0.43899304904591513      0.0005                   0.2990421420511077       2e-06                    0.19738051470588236      -0.113694884             0.81834006               
2400                     1.809810294840071        10257836                 16.944836849948647       33.93565657995401        0.12369095936159669      0.9638051137397008       0                        0                        0.8718314375             0.05                     0.2841107530163272       0.0005                   0.28983503180172515      2e-06                    0.25                     0.041752074              1.0446141                
2600                     1.9663079315423966       11117553                 17.653353087546023       37.67880615079261        0.12369095936159669      0.9638051137397008       0                        0                        0.8610848                0.05                     0.3763383675421424       0.0005                   0.2940988383968086       2e-06                    0.21783088235294118      -0.2042807               1.0566419                
2800                     2.1233900968233743       11976751                 20.054731316000854       46.155730471463514       0.12369095936159669      0.9638051137397008       0                        0                        0.8503456125             0.05                     0.24281215736204212      0.0005                   0.30056556714150834      2e-06                    0.1909466911764706       -0.05024586              0.88425845               
3000                     2.2900914502806136       12841101                 23.188807538585053       43.210922022931825       0.12369095936159669      0.9638051137397008       0                        0                        0.8395389                0.05                     0.2544431899295887       0.0005                   0.2927102468092926       2e-06                    0.16650390625            -0.4763876               1.2169724                
3200                     2.459705498483446        13710542                 24.997940799483512       56.89047877426369        0.12369095936159669      0.9638051137397008       0                        0                        0.8286740375             0.05                     0.2604679735377431       0.0005                   0.2962753036990762       2e-06                    0.13809742647058823      -0.26114535              1.0488663                
3400                     2.63171025607321         14587305                 26.02248620431541        56.18137396754007        0.12369095936159669      0.9638051137397008       0                        0                        0.8177144375000001       0.05000000000000001      0.3005112522993894       0.0005                   0.29209891849142666      2e-06                    0.2536764705882353       -0.026601052             0.6054915                
3600                     2.80742681728469         15470713                 32.61254852131379        56.92887234386879        0.12369095936159669      0.9638051137397008       0                        0                        0.8066720125             0.05                     0.32822772076663875      0.0005                   0.2981049591778881       2e-06                    0.17838541666666666      0.07387543               0.6106385                
3800                     2.9856711137957044       16369039                 33.58886543342439        68.10578144990475        0.12369095936159669      0.9638051137397008       0                        0                        0.7954442125             0.05                     0.39458200213913286      0.0005                   0.28961880287776387      2e-06                    0.16883680555555555      0.14651723               0.5909497                
4000                     3.1688670897483826       17283276                 40.50132432651402        62.47211997219512        0.12369095936159669      0.9638051137397008       0                        0                        0.7840146625             0.05                     0.3620412999427774       0.0005                   0.2962877111405962       2e-06                    0.169921875              0.013485395              0.9947815                
4200                     3.353617790672514        18201825                 42.247382007257514       69.71414788248669        0.12369095936159669      0.9638051137397008       0                        0                        0.7725362875             0.05                     0.3582207774988523       0.0005                   0.29262813822807454      2e-06                    0.12047697368421054      0.02434134               0.94790006               
4400                     3.5453644455141493       19147609                 49.41721069914266        68.43487298833955        0.12369095936159669      0.9638051137397008       0                        0                        0.760712775              0.05                     0.4387917525859343       0.0005                   0.29913769295025205      2e-06                    0.166015625              -0.48479488              1.4692993                
4600                     3.7407449994484585       20099682                 56.18939223868665        72.9040918502281         0.12369095936159669      0.9638051137397008       0                        0                        0.7488150499999999       0.05                     0.4422944463103225       0.0005                   0.29034003938891384      2e-06                    0.18236019736842105      0.16257738               1.0130306                
4800                     3.946428162852923        21088832                 56.94131925828685        83.35905028921724        0.12369095936159669      0.9638051137397008       0                        0                        0.7364534625             0.05                     0.392961250199005        0.0005                   0.29277282808907334      2e-06                    0.18359375               0.045628525              1.0118283                
5000                     4.1558291332589254       22080807                 66.37417398428822        80.32805181568607        0.12369095936159669      0.9638051137397008       0                        0                        0.7240532249999999       0.05                     0.3815868855686858       0.0005                   0.2976467119995504       2e-06                    0.180859375              0.17363419               0.7226649                
5200                     4.373320634232627        23100570                 82.78402390006315        82.08733665987181        0.12369095936159669      0.9638051137397008       0                        0                        0.7113106                0.05                     0.37328304117545485      0.0005                   0.2851512736773917       2e-06                    0.15606398809523808      0.44411546               0.7966275                
5400                     4.601486798524856        24163833                 73.27477540485883        84.38393406579044        0.12369095936159669      0.9638051137397008       0                        0                        0.6980143                0.05                     0.29531821100972594      0.0005                   0.29043684662319724      2e-06                    0.16328125000000002      -0.07565347              0.69118136               
5600                     4.840689899921418        25256342                 86.10191729421564        86.51357948475822        0.12369095936159669      0.9638051137397008       0                        0                        0.6843658375             0.05                     0.3224056142234159       0.0005                   0.2885079967196692       2e-06                    0.17223011363636365      -0.15498364              0.65605897               
5800                     5.08780692882008         26348639                 92.10456910829247        78.8894432774294         0.12369095936159669      0.9638051137397008       0                        0                        0.6707059624999999       0.05                     0.3165402928018011       0.0005                   0.28978984360583127      2e-06                    0.1423828125             -0.6393183               1.5404536                
6000                     5.342211288081275        27445721                 96.16288455321232        79.19056725478762        0.12369095936159669      0.9638051137397008       0                        0                        0.656996675              0.05                     0.3328427206936546       0.0005                   0.30068196330896835      2e-06                    0.14897017045454547      -0.1412652               0.66032684               
6200                     5.615691581302219        28558228                 108.65512339446934       84.31108928674225        0.12369095936159669      0.9638051137397008       0                        0                        0.64309165               0.05                     0.22461797189052132      0.0005                   0.28634634681723337      2e-06                    0.18572443181818182      0.26092753               0.6309534                
6400                     5.8861044005552925       29668231                 110.59522488084536       82.04202537880002        0.12369095936159669      0.9638051137397008       0                        0                        0.6292213625             0.05                     0.24999127866855514      0.0005                   0.28282898769248277      2e-06                    0.15885416666666669      -0.23259644              1.0391629                
6600                     6.147807769907845        30779884                 108.69225864979754       92.15949880819949        0.12369095936159669      0.9638051137397008       0                        0                        0.615323275              0.05                     0.2131724140262636       0.0005                   0.2898391339037082       2e-06                    0.16202445652173914      0.025151242              0.6050229                
6800                     6.406580944127507        31894103                 115.19603931735334       93.82181855846989        0.12369095936159669      0.9638051137397008       0                        0                        0.6013930249999999       0.05                     0.24091474771160973      0.0005                   0.2923689949410883       2e-06                    0.15269886363636365      -0.32441774              0.89999247               
7000                     6.661393360892932        33008965                 116.03182387982795       94.51800028993647        0.12369095936159669      0.9638051137397008       0                        0                        0.5874601625             0.05                     0.2788095920366923       0.0005                   0.290529052241017        2e-06                    0.12703804347826086      -0.07214113              0.73134434               
7200                     6.915373129182392        34125678                 139.79067929630696       88.47989560623157        0.12369095936159669      0.9638051137397008       0                        0                        0.57349955               0.05                     0.2228504647500813       0.0005                   0.29105356424538925      2e-06                    0.19886363636363638      0.060578972              0.73175496               
7400                     7.172418978876538        35246296                 124.88641514254144       91.14725231593951        0.12369095936159669      0.9638051137397008       0                        0                        0.5594901625             0.05                     0.21288928171535107      0.0005                   0.3005783046511087       2e-06                    0.14932528409090906      -0.08824499              0.501183                 
7600                     7.429479892386331        36362237                 128.14386266853654       88.3656457365561         0.12369095936159669      0.9638051137397008       0                        0                        0.5455450875000001       0.05                     0.14873605301482198      0.0005                   0.2977113812028066       2e-06                    0.13298233695652173      0.16195768               0.5024194                
7800                     7.6872332898113465       37482198                 129.90166313048366       85.95766319116748        0.12369095936159669      0.9638051137397008       0                        0                        0.531546175              0.05                     0.18782920102366127      0.0005                   0.2826736613541193       2e-06                    0.1397758152173913       0.055095747              0.4357038                
8000                     7.947001296016905        38602387                 129.8205684537234        97.69254041871946        0.12369095936159669      0.9638051137397008       0                        0                        0.5175465375             0.05                     0.18952902383171022      0.0005                   0.29762977284068864      2e-06                    0.13118489583333331      -0.14724216              0.5371416                
8200                     8.208361924158202        39725239                 106.96142195387107       100.03821048538055       0.12369095936159669      0.9638051137397008       0                        0                        0.50350415               0.05                     0.1658562125521712       0.0005                   0.28755508837374777      2e-06                    0.20525568181818182      -0.39720687              0.38315892               
8400                     8.467605830166075        40841399                 118.75586067514492       91.87160974623322        0.12369095936159669      0.9638051137397008       0                        0                        0.48955705               0.05                     0.13022342321346514      0.0005                   0.29115289453572285      2e-06                    0.13509114583333334      0.25997478               0.5097112                
8600                     8.72774862130483         41968269                 109.81708851634893       103.54133724090914       0.12369095936159669      0.9638051137397008       0                        0                        0.4754618375             0.05                     0.1879341023630418       0.0005                   0.28028547542080995      2e-06                    0.16183035714285715      0.08297627               0.70095557               
8800                     8.988249568939208        43093700                 129.51320151080373       79.00622175739792        0.12369095936159669      0.9638051137397008       0                        0                        0.4614045375             0.05                     0.15039925592524622      0.0005                   0.2910851422154034       2e-06                    0.15787760416666666      -0.2671763               0.7304202                
9000                     9.250234885348213        44219935                 141.45926709599416       97.01545494599841        0.12369095936159669      0.9638051137397008       0                        0                        0.44731921249999995      0.05                     0.1480321311286058       0.0005                   0.28774173329160974      2e-06                    0.17169744318181818      0.3032431                0.37649795               
9200                     9.508493698504235        45338820                 139.31954431564014       94.4703078954988         0.12369095936159669      0.9638051137397008       0                        0                        0.433336025              0.05                     0.13556200401027402      0.0005                   0.30526639488728147      2e-06                    0.15557065217391305      0.19140929               0.46470246               
9400                     9.770212066570918        46467175                 155.96134400468662       116.93781448518631       0.12369095936159669      0.9638051137397008       0                        0                        0.41922408750000006      0.05                     0.1385445590945892       0.0005                   0.28952070297673344      2e-06                    0.148828125              -0.026727913             0.56235284               
9600                     10.03378940363725        47594261                 117.29468703227428       122.75876334630993       0.12369095936159669      0.9638051137397008       0                        0                        0.4051407375             0.05                     0.10889445880258625      0.0005                   0.28985514800826256      2e-06                    0.1608664772727273       0.36322474               0.38606584               
