Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0011840542819764879    8316                     3.7970122051817294       3.8516292695134906       0.054434687921216945     1.213579233540311        0.3333333333333333       0.4692176612391959       0.9999479250000001       0.05000000000000001      0.49773496848841503      0.0005                   0.29830289185047154      2e-06                    0.030989583333333334     1.1421467                1.0562333                
200                      0.1598448399702708       874221                   9.716249894967515        18.556521203751725       0.05860293072981938      0.7669554229921166       0.33333333333333326      0.4713907361367557       0.9891266375             0.05                     0.1815949949377682       0.0005                   0.29526973073370755      2e-06                    0.072265625              0.10346147               0.6311799                
400                      0.31871103598011863      1744617                  10.251002268934233       19.983924364088818       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.9782466875             0.05                     0.14996869293463533      0.0005                   0.2970518019865267       2e-06                    0.128662109375           -0.01943316              0.44562                  
600                      0.477020435863071        2614996                  11.631545896975275       25.14817534042782        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.96736695               0.05                     0.1254643544598366       0.0005                   0.30259397492045537      2e-06                    0.11767578125            0.07944051               0.38404554               
800                      0.6353286333216561       3485385                  12.632910949740944       24.27865984912753        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.9564870875             0.05                     0.2211779931021738       0.0005                   0.3115945984609425       2e-06                    0.1396484375             -0.024791406             0.7048831                
1000                     0.7940813057290184       4355782                  11.944593307992196       23.937313152029216       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.945607125              0.05                     0.202333430715953        0.0005                   0.2892758889356628       2e-06                    0.186767578125           -0.041476145             0.6951559                
1200                     0.9539377844333649       5226171                  11.908778339488803       24.610674011427545       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.9347272625             0.05                     0.2884883477818221       0.0005                   0.3063928763731383       2e-06                    0.163818359375           0.23919402               0.80139995               
1400                     1.1152941974666384       6096563                  12.441013070129692       26.278329607889056       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.923847325              0.05                     0.32506207161350176      0.0005                   0.3084324011579156       2e-06                    0.134765625              -0.26679865              0.84591514               
1600                     1.2760643849107953       6963590                  13.443604989653398       27.881749952938073       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.913009125              0.05                     0.3333239836647408       0.0005                   0.2910733060562052       2e-06                    0.11767578125            -0.28090143              0.9723159                
1800                     1.4369615572690964       7826288                  13.948037719050596       31.56933306859677        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.9022246                0.05                     0.35334988262911793      0.0005                   0.30353836953872815      2e-06                    0.18505859375            -0.036106948             0.89268667               
2000                     1.595642002887196        8674929                  15.311748873098136       32.91973595053676        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.891615375              0.05                     0.41280074405949563      0.0005                   0.2794760600081645       2e-06                    0.115234375              -0.24296063              1.0917541                
2200                     1.7564129334025913       9521928                  15.10366199880389        39.64256371782264        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.8810304999999999       0.05                     0.39277837417252803      0.0005                   0.28736787163378563      2e-06                    0.1518841911764706       0.24830782               0.6663649                
2400                     1.9204643326335482       10381697                 17.850817687322564       42.649518331130494       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.8702839625000001       0.05000000000000001      0.3734596392742413       0.0005                   0.2898871034712476       2e-06                    0.12591911764705882      0.008341058              0.74083805               
2600                     2.08615039229393         11246642                 17.282036827168923       49.73572963345815        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.8594719625             0.05                     0.3897864178288728       0.0005                   0.30504257577087945      2e-06                    0.14958639705882354      -0.10990926              0.7997515                
2800                     2.252798252304395        12108143                 21.12650688770424        58.678489772980036       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.848704075              0.05                     0.3941904867396635       0.0005                   0.2914193537743653       2e-06                    0.14200367647058826      -0.03942612              0.6865214                
3000                     2.4209901839494705       12965050                 23.93675690096453        62.113084255173774       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.8379891374999999       0.05                     0.370778292461182        0.0005                   0.2895337105728686       2e-06                    0.153564453125           0.060338486              0.8566505                
3200                     2.593530224627919        13836911                 25.299726845252522       74.50887866169103        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.8270911                0.05                     0.40627947490429506      0.0005                   0.2871144108939916       2e-06                    0.11181640625            0.17222357               0.6205273                
3400                     2.7683949989080427       14718565                 27.59290427790521        70.19296445425206        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.8160722                0.05                     0.40279037015074315      0.0005                   0.3079474050113383       2e-06                    0.13809742647058826      0.07242577               0.79476595               
3600                     2.9449642515182495       15597893                 31.06809992489979        71.3187290216053         0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.805083975              0.05                     0.3429456830619731       0.0005                   0.30352165767302114      2e-06                    0.12456597222222222      -0.08426804              0.7834419                
3800                     3.1289806534846623       16496112                 38.242807778043655       78.13487566571601        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.7938540125             0.049999999999999996     0.37970466950597864      0.0005                   0.2977407514635059       2e-06                    0.16471354166666669      0.01662572               1.0379426                
4000                     3.317520985470878        17416288                 43.5425582504952         124.220300066779         0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.7823535375             0.05                     0.31747830410798394      0.0005                   0.2936018022915555       2e-06                    0.15516493055555552      0.25795117               1.0269909                
4200                     3.5094483257664573       18334280                 42.394775961670675       103.95335936082527       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.7708791875000001       0.05                     0.3438145417409638       0.0005                   0.28760351959822905      2e-06                    0.15386284722222224      -0.14783344              1.0460202                
4400                     3.7078709457980263       19275919                 50.63031671209296        102.41393264723126       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.7591090375             0.05                     0.33250352638101         0.0005                   0.2863162864103086       2e-06                    0.14149305555555555      0.15789743               0.619407                 
4600                     3.9129370001951855       20227263                 58.358692830484095       157.77877641052874       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.74721885               0.05                     0.30599170756575306      0.0005                   0.29356399345162665      2e-06                    0.16200657894736842      0.17215562               0.6293824                
4800                     4.124108063379923        21196457                 59.99815157627338        204.99399091748845       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.73510225               0.05                     0.3465723345418357       0.0005                   0.29493236262351274      2e-06                    0.15342881944444445      0.2003749                0.6451928                
5000                     4.344190315736665        22182873                 69.70014058104573        190.05288235403788       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.722777                 0.049999999999999996     0.401714402064681        0.0005                   0.2902090899180621       2e-06                    0.19296875000000002      0.21626475               0.8490991                
5200                     4.573801360991266        23190729                 77.56093846289978        226.98641057253968       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.7101784625             0.05                     0.38576646223664285      0.0005                   0.28524692766368387      2e-06                    0.14765625               0.31465736               0.83995515               
5400                     4.814113274680244        24230590                 84.10734359989213        170.83661429164357       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.697188075              0.05                     0.3405647073152729       0.0005                   0.2869879142804579       2e-06                    0.12748579545454544      -0.35382813              0.94499415               
5600                     5.0725736080937915       25315329                 106.66007385652128       218.18819428471176       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.6836313                0.05                     0.3201161402520602       0.0005                   0.28482744510730973      2e-06                    0.17085597826086957      -0.09473289              0.58321226               
5800                     5.348501900169585        26408891                 137.29838676803536       226.96867438893358       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.6699608375             0.05                     0.31956576930520975      0.0005                   0.28256006672492495      2e-06                    0.19599184782608697      -0.1716095               0.79126227               
6000                     5.634410474499067        27537115                 144.60868792701177       227.12016950123964       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.65585705               0.05                     0.41607396312705847      0.0005                   0.28714076603722316      2e-06                    0.1224524456521739       -0.10422069              0.7324194                
6200                     5.951095995505651        28757522                 161.10304581772763       232.80914029816714       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.6406102375             0.05                     0.416866572573781        0.0005                   0.3012550466880202       2e-06                    0.16968750000000002      0.22121976               0.8259627                
6400                     6.315735178523593        30034829                 190.91275010363736       293.50773453819363       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.624649125              0.05                     0.3050548791436961       0.0005                   0.2869906702803241       2e-06                    0.17057291666666669      0.21666807               0.6047047                
6600                     6.735340933799744        31431595                 248.1477862848282        285.63310001251097       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.6072045125             0.05                     0.3555509403062564       0.0005                   0.2882651721517886       2e-06                    0.12827620967741934      -0.19783711              0.54661626               
6800                     7.190729814900292        32942788                 250.22761255230293       294.22198373933054       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.588311825              0.05                     0.3683641366209955       0.0005                   0.29006796495448195      2e-06                    0.16053427419354838      0.11953768               0.8577368                
7000                     7.648564618163639        34507330                 272.66257119495623       274.4656501013694        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.5687560375             0.05                     0.28801610643765135      0.0005                   0.2823067147945685       2e-06                    0.15977822580645162      0.04884887               0.5801113                
7200                     8.11768443485101         36120559                 281.3606481126395        332.86876539432956       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.5485895000000001       0.05                     0.28695380038792084      0.0005                   0.28285730915564683      2e-06                    0.1507056451612903       0.13098085               0.80291027               
7400                     8.585911166005664        37771340                 283.50299454738274       317.5517227787966        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.527955325              0.05                     0.27181181346156424      0.0005                   0.27745437141387697      2e-06                    0.14818548387096775      -0.25116742              0.91412896               
7600                     9.056879239810838        39434892                 307.8941693731798        364.0896475714347        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.5071696375             0.05                     0.30413060128745256      0.0005                   0.2863214203071865       2e-06                    0.16938920454545453      -0.23134917              0.92258275               
7800                     9.531114558378855        41120433                 343.2760200543514        317.69328018821176       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.4861082375             0.05                     0.22284648699052112      0.0005                   0.2861233044467453       2e-06                    0.1535373263888889       0.12087953               0.4844894                
8000                     10.001354871988296       42858984                 355.9159205564526        349.31259243433533       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.46437165               0.05                     0.20223057449466603      0.0005                   0.2839103465735474       2e-06                    0.1374080882352941       0.06335964               0.4971248                
8200                     10.470464309983782       44634939                 362.5626904066338        324.7754234567856        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.44217957500000005      0.05                     0.23960362133771382      0.0005                   0.2899026110063534       2e-06                    0.17324746621621623      0.099579096              0.58832735               
8400                     10.906031481491194       46375344                 334.57184514636765       322.8644597786738        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.4204142375             0.05                     0.26044208934763446      0.0005                   0.27681935715543876      2e-06                    0.162109375              -0.13299128              0.89284855               
8600                     11.342445930573675       48154920                 318.85203686387393       349.6941110238215        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.39816818749999994      0.05                     0.28216853775225126      0.0005                   0.28168556195768446      2e-06                    0.1298532196969697       0.126977                 0.34426108               
8800                     11.7777155746354         49955348                 407.8746832866076        363.57371321530354       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.37568032500000004      0.05                     0.21888935637887186      0.0005                   0.2751796887232325       2e-06                    0.1310096153846154       0.011096093              0.7145985                
9000                     12.22111460049947        51753852                 340.6584929862685        405.89325720162765       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.353180625              0.05                     0.23986795653984175      0.0005                   0.2725252780611768       2e-06                    0.14417613636363635      -0.008903823             0.39011574               
9200                     12.665107975800833       53579675                 382.72415902845887       326.08521135667775       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.33037202499999996      0.05                     0.20303533332598572      0.0005                   0.27462501010882695      2e-06                    0.1558277027027027       -0.016856791             0.6311005                
9400                     13.11037244949076        55406871                 357.6642889466483        378.3845217051364        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.30752274999999996      0.05                     0.19640445012106178      0.0005                   0.2737048980232109       2e-06                    0.1696920955882353       -0.02956542              0.652988                 
9600                     13.544014362295469       57235946                 384.42953722329867       354.20669870437087       0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.28467635               0.05                     0.2348929607018363       0.0005                   0.2801975390408188       2e-06                    0.16875                  -0.062237635             0.44094223               
9800                     13.98960494743453        59069504                 383.1683178727608        357.3910957982223        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.26175135000000005      0.05                     0.18850084955001398      0.0005                   0.27258399954849954      2e-06                    0.17937911184210525      -0.01488712              0.8113299                
10000                    14.43044653137525        60924917                 412.5401011727432        396.2701644740711        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.23855932500000004      0.05                     0.1786711719790841       0.0005                   0.2625222724715346       2e-06                    0.1751644736842105       -0.49656546              0.702959                 
10200                    14.863258329033851       62794811                 425.4377577725072        424.1913512294854        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.215184775              0.05                     0.24445213483015418      0.0005                   0.27007153358212427      2e-06                    0.1728001644736842       0.09573155               0.5603509                
10400                    15.302994745439953       64662596                 415.8103960941637        346.1385281159044        0.06386889860134205      0.760229167442649        0.3333333333333332       0.4713946211984794       0.2                      0.05                     0.17193052286893362      0.0005                   0.265219604736194        2e-06                    0.18759765625            -0.119290285             0.55615294               
